Nodes,Edges,Graph Type,MST Weight,Prim Time (s),Kruskal Time (s)
61,854,tree + 30% edges,155.0,0.005568265914916992,0.008164405822753906
61,1048,tree + 40% edges,136.5,0.003799915313720703,0.005479097366333008
61,1192,tree + 50% edges,153.0,0.004961967468261719,0.004259586334228516
61,1298,tree + 60% edges,124.0,0.010649681091308594,0.011414289474487305
61,1406,tree + 70% edges,130.5,0.011882543563842773,0.011485099792480469
61,1493,tree + 80% edges,125.0,0.00722813606262207,0.005662679672241211
61,1541,tree + 90% edges,130.5,0.006115436553955078,0.006929874420166016
58,1653,complete,485,0.00467991828918457,0.013216257095336914
58,57,tree,485,0.006369829177856445,0.005501985549926758
58,343,tree + 10% edges,249.0,0.0032339096069335938,0.0015957355499267578
58,574,tree + 20% edges,192.0,0.00573420524597168,0.0023467540740966797
58,773,tree + 30% edges,168.5,0.003311634063720703,0.004247426986694336
58,939,tree + 40% edges,139.5,0.004923820495605469,0.0038852691650390625
58,1061,tree + 50% edges,135.5,0.0041790008544921875,0.0077648162841796875
58,1168,tree + 60% edges,158.0,0.0034482479095458984,0.006243705749511719
58,1247,tree + 70% edges,143.5,0.0037860870361328125,0.004422903060913086
58,1345,tree + 80% edges,127.5,0.004886150360107422,0.0064847469329833984
58,1407,tree + 90% edges,127.0,0.0036170482635498047,0.006892204284667969
87,3741,complete,741,0.013420343399047852,0.02613353729248047
87,86,tree,741,0.010702133178710938,0.009389638900756836
87,765,tree + 10% edges,337.5,0.008333444595336914,0.003579854965209961
87,1305,tree + 20% edges,223.0,0.010318756103515625,0.00669550895690918
87,1742,tree + 30% edges,153.5,0.00770878791809082,0.008744239807128906
87,2088,tree + 40% edges,180.5,0.009622573852539062,0.011660575866699219
87,2381,tree + 50% edges,154.5,0.008952856063842773,0.011856794357299805
87,2649,tree + 60% edges,119.0,0.015677690505981445,0.019032001495361328
87,2860,tree + 70% edges,147.0,0.011815786361694336,0.027419328689575195
87,2998,tree + 80% edges,148.0,0.010361671447753906,0.017627716064453125
87,3154,tree + 90% edges,154.0,0.010047197341918945,0.01768779754638672
75,2775,complete,656,0.010519981384277344,0.02042222023010254
75,74,tree,656,0.006392240524291992,0.010256767272949219
75,563,tree + 10% edges,272.5,0.006090402603149414,0.0033292770385742188
75,960,tree + 20% edges,191.0,0.0066411495208740234,0.004864931106567383
75,1305,tree + 30% edges,141.0,0.006124734878540039,0.005708217620849609
75,1563,tree + 40% edges,142.0,0.005495548248291016,0.005819797515869141
75,1800,tree + 50% edges,132.5,0.006316661834716797,0.0063724517822265625
75,1994,tree + 60% edges,93.5,0.005339384078979492,0.00651097297668457
75,2100,tree + 70% edges,143.5,0.006049394607543945,0.006614208221435547
75,2250,tree + 80% edges,124.0,0.005059003829956055,0.007590293884277344
75,2315,tree + 90% edges,138.5,0.005440235137939453,0.0074155330657958984
19,171,complete,322,0.0009198188781738281,0.0009012222290039062
19,18,tree,322,0.0006101131439208984,0.00048732757568359375
19,45,tree + 10% edges,247.0,0.0005652904510498047,0.00020623207092285156
19,68,tree + 20% edges,227.0,0.0005173683166503906,0.00030231475830078125
19,95,tree + 30% edges,151.5,0.0004968643188476562,0.00042128562927246094
19,100,tree + 40% edges,197.0,0.0005109310150146484,0.0006947517395019531
19,114,tree + 50% edges,138.0,0.0005638599395751953,0.0003764629364013672
19,125,tree + 60% edges,128.5,0.0005211830139160156,0.00044536590576171875
19,130,tree + 70% edges,122.5,0.0005137920379638672,0.0005018711090087891
19,141,tree + 80% edges,141.0,0.0005023479461669922,0.000598907470703125
19,148,tree + 90% edges,99.5,0.0005395412445068359,0.0005285739898681641
99,4851,complete,771,0.012140035629272461,0.025261640548706055
99,98,tree,771,0.008339405059814453,0.010692358016967773
99,968,tree + 10% edges,287.5,0.007222652435302734,0.004096269607543945
99,1691,tree + 20% edges,189.0,0.007957696914672852,0.006094932556152344
99,2239,tree + 30% edges,180.0,0.010631084442138672,0.01329350471496582
99,2647,tree + 40% edges,175.0,0.00825190544128418,0.008973836898803711
99,3125,tree + 50% edges,140.5,0.015268802642822266,0.019599437713623047
99,3437,tree + 60% edges,126.5,0.016733407974243164,0.0189058780670166
99,3691,tree + 70% edges,151.0,0.009694814682006836,0.01259922981262207
99,3887,tree + 80% edges,158.0,0.010077953338623047,0.013394832611083984
99,4078,tree + 90% edges,148.0,0.009793281555175781,0.014868021011352539
63,1953,complete,580,0.0047876834869384766,0.010004758834838867
63,62,tree,580,0.003531932830810547,0.0047855377197265625
63,401,tree + 10% edges,276.0,0.002954721450805664,0.0017175674438476562
63,689,tree + 20% edges,229.0,0.0031599998474121094,0.0027990341186523438
63,940,tree + 30% edges,163.0,0.0036802291870117188,0.003137826919555664
63,1098,tree + 40% edges,154.0,0.0035300254821777344,0.0036072731018066406
63,1247,tree + 50% edges,157.0,0.0043487548828125,0.004170656204223633
63,1385,tree + 60% edges,125.5,0.0036880970001220703,0.004792451858520508
63,1476,tree + 70% edges,140.0,0.0039501190185546875,0.0047092437744140625
63,1575,tree + 80% edges,164.0,0.00439453125,0.005051374435424805
63,1647,tree + 90% edges,130.5,0.00449681282043457,0.006051063537597656
84,3486,complete,620,0.012292861938476562,0.02669501304626465
84,83,tree,620,0.0065460205078125,0.008523702621459961
84,691,tree + 10% edges,291.5,0.007773160934448242,0.005396604537963867
84,1214,tree + 20% edges,223.5,0.00606536865234375,0.004927635192871094
84,1618,tree + 30% edges,161.5,0.005837917327880859,0.005595684051513672
84,1945,tree + 40% edges,135.5,0.0065119266510009766,0.00697779655456543
84,2231,tree + 50% edges,115.0,0.0067861080169677734,0.007352352142333984
84,2441,tree + 60% edges,145.0,0.0072019100189208984,0.008026599884033203
84,2609,tree + 70% edges,136.0,0.007113456726074219,0.008564472198486328
84,2806,tree + 80% edges,150.0,0.006922483444213867,0.009169578552246094
84,2889,tree + 90% edges,168.5,0.007161140441894531,0.009726524353027344
57,1596,complete,612,0.005049228668212891,0.010505199432373047
57,56,tree,612,0.004445075988769531,0.0045626163482666016
57,334,tree + 10% edges,311.0,0.0028481483459472656,0.0017170906066894531
57,561,tree + 20% edges,220.5,0.0041201114654541016,0.0023834705352783203
57,753,tree + 30% edges,146.0,0.0029697418212890625,0.0034728050231933594
57,893,tree + 40% edges,140.5,0.007366657257080078,0.0043337345123291016
57,1019,tree + 50% edges,137.5,0.004010438919067383,0.005204200744628906
57,1131,tree + 60% edges,160.0,0.005543231964111328,0.009015321731567383
57,1208,tree + 70% edges,144.0,0.006239175796508789,0.006345987319946289
57,1307,tree + 80% edges,124.0,0.004082202911376953,0.008938789367675781
57,1354,tree + 90% edges,130.0,0.0070035457611083984,0.01063084602355957
59,1711,complete,567,0.008147716522216797,0.011311531066894531
59,58,tree,567,0.0046269893646240234,0.004658699035644531
59,354,tree + 10% edges,243.5,0.0031659603118896484,0.002016305923461914
59,592,tree + 20% edges,246.0,0.004304170608520508,0.002665996551513672
59,817,tree + 30% edges,180.5,0.0030329227447509766,0.004262208938598633
59,961,tree + 40% edges,146.5,0.0035293102264404297,0.003927707672119141
59,1100,tree + 50% edges,144.0,0.003554821014404297,0.004047870635986328
59,1237,tree + 60% edges,125.0,0.0034537315368652344,0.004181623458862305
59,1299,tree + 70% edges,130.0,0.003498077392578125,0.0045223236083984375
59,1393,tree + 80% edges,105.5,0.003862619400024414,0.0043981075286865234
59,1447,tree + 90% edges,107.0,0.0038242340087890625,0.004983425140380859
76,2850,complete,654,0.007977008819580078,0.01543426513671875
76,75,tree,654,0.004972219467163086,0.006792306900024414
76,565,tree + 10% edges,321.5,0.004640340805053711,0.002511262893676758
76,983,tree + 20% edges,207.0,0.005036354064941406,0.003690004348754883
76,1338,tree + 30% edges,197.5,0.00470280647277832,0.005109548568725586
76,1596,tree + 40% edges,146.0,0.005456447601318359,0.005251169204711914
76,1842,tree + 50% edges,147.5,0.005707740783691406,0.005941152572631836
76,2022,tree + 60% edges,118.5,0.00630497932434082,0.0069391727447509766
76,2149,tree + 70% edges,137.0,0.005179882049560547,0.007162809371948242
76,2300,tree + 80% edges,133.5,0.005800485610961914,0.00760960578918457
76,2382,tree + 90% edges,163.0,0.006023883819580078,0.008491992950439453
71,2485,complete,575,0.006401538848876953,0.012579679489135742
71,70,tree,575,0.008149385452270508,0.018796205520629883
71,514,tree + 10% edges,291.5,0.011529684066772461,0.005960226058959961
71,855,tree + 20% edges,217.5,0.013129711151123047,0.009761810302734375
71,1153,tree + 30% edges,162.0,0.0083770751953125,0.004012346267700195
71,1408,tree + 40% edges,133.0,0.005913257598876953,0.005068302154541016
71,1605,tree + 50% edges,129.0,0.004480600357055664,0.005881547927856445
71,1781,tree + 60% edges,121.0,0.0047454833984375,0.005469083786010742
71,1887,tree + 70% edges,128.5,0.004820346832275391,0.006751537322998047
71,1995,tree + 80% edges,173.0,0.005164623260498047,0.006172657012939453
71,2100,tree + 90% edges,152.5,0.005673885345458984,0.00702357292175293
89,3916,complete,600,0.009668111801147461,0.020004749298095703
89,88,tree,600,0.006951570510864258,0.00901174545288086
89,770,tree + 10% edges,306.5,0.0059854984283447266,0.0037038326263427734
89,1358,tree + 20% edges,219.5,0.007138729095458984,0.009801864624023438
89,1836,tree + 30% edges,223.5,0.013640403747558594,0.012239933013916016
89,2196,tree + 40% edges,155.0,0.012826681137084961,0.01271820068359375
89,2497,tree + 50% edges,144.5,0.010198354721069336,0.008781671524047852
