n,estimate
6,583
6,799
6,799
6,619
6,619
6,1051
6,1231
6,799
6,799
6,619
6,619
6,1231
6,799
6,619
6,619
6,619
6,799
6,799
6,799
6,1663
6,799
6,799
6,619
6,799
6,763
6,799
6,799
6,1231
6,1231
6,799
6,799
6,1231
6,799
6,1051
6,583
6,799
6,1231
6,799
6,1231
6,763
6,619
6,763
6,1231
6,763
6,799
6,619
6,1231
6,1231
6,583
6,799
6,1051
6,763
6,763
6,619
6,799
6,619
6,1231
6,1231
6,799
6,799
6,1663
6,1231
6,1051
6,799
6,799
6,1231
6,799
6,1051
6,763
6,583
6,799
6,763
6,763
6,1663
6,583
6,799
6,763
6,763
6,799
6,799
6,799
6,1051
6,1051
6,799
6,583
6,1231
6,1231
6,799
6,1231
6,583
6,799
6,763
6,1051
6,1231
6,763
6,799
6,763
6,799
6,763
6,763
6,799
6,799
6,763
6,799
6,1231
6,583
6,799
6,799
6,619
6,763
6,1231
6,1051
6,799
6,799
6,799
6,583
6,583
6,583
6,1231
6,1051
6,799
6,583
6,1231
6,1663
6,1231
6,799
6,583
6,763
6,799
6,799
6,619
6,1231
6,799
6,763
6,583
6,799
6,1051
6,1231
6,799
6,763
6,583
6,763
6,799
6,799
6,763
6,763
6,619
6,763
6,799
6,1231
6,619
6,1231
6,799
6,583
6,1231
6,583
6,763
6,619
6,763
6,1051
6,763
6,763
6,1231
6,619
6,1663
6,1231
6,799
6,799
6,799
6,1051
6,763
6,1231
6,619
6,1051
6,583
6,799
6,799
6,799
6,1231
6,1663
6,1051
6,799
6,799
6,1231
6,1663
6,1231
6,799
6,799
6,1231
6,799
6,799
6,1231
6,799
6,763
6,763
6,1231
6,1231
6,799
6,583
6,583
6,1231
6,1663
6,799
6,799
6,799
6,763
6,763
6,799
6,763
6,1231
6,619
6,1051
6,799
6,619
6,1231
6,1663
6,799
6,619
6,1231
6,1231
6,583
6,583
6,799
6,1231
6,1231
6,763
6,799
6,763
6,619
6,1051
6,763
6,583
6,763
6,583
6,1231
6,583
6,799
6,763
7,4565
7,2262
7,1772
7,2262
7,2262
7,4369
7,4712
7,4173
7,2997
7,4369
7,2997
7,2262
7,6721
7,2017
7,2017
7,4369
7,1772
7,6525
7,2262
7,4173
7,2997
7,3242
7,4565
7,2262
7,4173
7,4565
7,2507
7,3242
7,6133
7,2997
7,2997
7,6721
7,4369
7,2605
7,6721
7,2017
7,4369
7,4173
7,4369
7,3242
7,3193
7,4369
7,6133
7,1821
7,2997
7,4369
7,4369
7,3732
7,2017
7,2997
7,4173
7,1821
7,2997
7,2997
7,2997
7,3977
7,2605
7,2605
7,2997
7,4565
7,4173
7,4369
7,1772
7,5545
7,5447
7,3193
7,4369
7,1772
7,4369
7,4369
7,2605
7,5447
7,2605
7,3242
7,1821
7,2997
7,2213
7,1821
7,2997
7,1821
7,1772
7,4369
7,2997
7,4369
7,3193
7,4369
7,2262
7,6133
7,2262
7,3977
7,2997
7,5447
7,1821
7,2997
7,6721
7,5545
7,2262
7,5447
7,2605
7,2017
7,2997
7,4369
7,4369
7,4173
7,6721
7,4369
7,4369
7,2213
7,2605
7,2605
7,2507
7,3977
7,5545
7,5545
7,3242
7,5447
7,2997
7,1821
7,2213
7,2997
7,2507
7,3977
7,2997
7,2017
7,5545
7,2507
7,2017
7,1821
7,3732
7,3193
7,2605
7,1772
7,1772
7,2605
7,1772
7,2262
7,5545
7,1821
7,2605
7,2017
7,3732
7,6525
7,3977
7,4565
7,1772
7,8877
7,1821
7,2017
7,3242
7,5447
7,4565
7,4565
7,4565
7,2262
7,4369
7,4369
7,4173
7,3193
7,3732
7,4369
7,2507
7,2605
7,2997
7,3242
7,5447
7,2605
7,1821
7,1821
7,6721
7,4369
7,3242
7,2262
7,1821
7,3732
7,3242
7,2997
7,4369
7,2997
7,3242
7,4369
7,6133
7,2262
7,6721
7,3242
7,2997
7,2997
7,3193
7,4369
7,2997
7,4565
7,3977
7,2017
7,2997
7,4369
7,2017
7,6133
7,2213
7,2507
7,1772
7,6525
7,2213
7,1772
7,2262
7,4565
7,4565
7,3193
7,4369
7,3242
7,4369
7,2997
7,6721
7,3193
7,1821
7,4369
7,1772
7,2507
7,1821
7,4369
7,2605
7,2507
7,3242
7,2605
7,4369
7,1772
7,2507
7,3977
7,2605
7,4369
7,2605
7,2605
7,1772
7,4369
7,1772
7,4369
7,1821
7,4369
7,2507
7,1821
7,3977
7,1821
7,4173
7,2605
7,4369
7,2605
7,1821
7,2997
7,6721
7,3193
7,2605
7,2997
7,4369
7,6133
7,3242
7,8877
7,4565
7,3193
7,2507
7,2997
7,2997
7,2507
7,4369
7,5545
7,6133
7,2605
7,2017
7,2997
7,4173
7,4369
7,1821
7,5447
7,2997
7,6133
7,2605
7,4565
7,3242
7,4369
7,2262
7,2997
7,2997
7,3977
7,5545
7,1772
7,2605
7,3242
7,3732
7,4173
7,6133
7,3242
7,6721
7,3193
7,2997
7,2262
7,4369
7,2997
7,4369
7,2017
7,5447
7,4565
7,1772
7,4712
7,4369
7,3193
7,8877
7,1821
7,4369
7,3193
7,1772
7,2997
7,6133
7,4369
7,4369
7,3193
7,1772
7,2997
7,2997
7,5545
7,3977
7,3977
7,4369
7,1821
7,5545
7,6721
7,5447
7,3193
